Name,Price,PriceScore,Processor Type,ProcessorScore,RAM,RAMScore,Hard Disk,StorageScore,Graphics Card,GraphicsScore,Screen Size,ScreenScore,TotalScore,NormalizedScore
HP Elitebook 860 G9 Core i7 12th Gen Laptop,88000.0,0.0,Intel Core i7 12th Gen,9.0,16.0,8.0,512GB,9.0,Integrated Intel Iris Xe Graphics,5,"16-inch diagonal, WUXGA IPS, anti-glare, 300 nits, 45% NTSC Display",10.0,5.8,59.718864697393535
"Dell Latitude E3440 Core i5 4th Gen 500GB HDD 14"" Laptop",13500.0,9.747292418772563,Intel Core i5 4200U Processor,2.8,4.0,2.0,500GB,5.90625,Intel HD Graphics 4400,3,"14"" HD LED Display",9.0,5.784229467509025,59.491925348951504
"HP ProBook 440 G1 Core i5 4th Gen 14"" LED Laptop",14000.0,9.711191335740072,Intel Core i5-4200M 4th Generation,2.8,4.0,2.0,128 GB,6.0,Intel HD Graphics 4600,3,"14"" Diagonal LED-backlit HD Anti-Glare",9.0,5.77447653429603,59.35157978293956
HP EliteBook 845 G9 Ryzen 7 Pro 6850HS Laptop,68000.0,0.0,Ryzen 7 Pro 6850HS,8.737499999999999,16.0,8.0,512GB NVME,9.0,AMD Radeon 680M Graphics,6,"14 Inch ‎FHD+ WUXGA IPS, anti-glare, 400 nits, 100% sRGB Display",9.0,5.771249999999999,59.30514967087544
HP Victus 15-fa0165TX Core i5 12th Gen,90000.0,0.0,Core i5-12450H,8.4,16.0,8.0,512GB M.2 NVME,9.0,12GB Graphics with Dedicated NVIDIA GTX 1650,8,"15.6"" 4K Supported with 1920 x 1080p resolution",9.8,5.7700000000000005,59.28716206102684
"Dell XPS 13 9310 Core i7 11th Gen 13.4"" 4K Touch",63000.0,0.4232851985559565,Intel Core i7-1165G7 11th Generation,8.299999999999999,16.0,8.0,512 GB M.2 2280 PCIe NVMe Gen3 x4,9.0,Intel Iris Xe Graphics,5,"13.4-inch 4K UHD+, 60 Hz, anti-reflective, touch, InfinityEdge, 90% DCI-P3 typical, 500 nits, wide-viewing angle",8.7,5.759314079422382,59.13339072484808
"Asus P452LA Core i3 5th Gen 4GB RAM 14"" Laptop",16000.0,9.56678700361011,Intel Core i3-5200U 5th Gen,2.9,4.0,2.0,120GB,5.9375,Intel HD Graphics 5500,3,"14"" LED Backlit HD 1366 x 768 Screen",9.0,5.743589801444044,58.90711698290768
HP EliteBook Folio 9480m Core i5 4GB RAM Laptop,14990.0,9.63971119133574,Intel Core i5-4310U 4th Generation,2.8,4.0,2.0,"500GB HDD, 7200 RPM",5.90625,Intel HD Graphics 4400,3,"14.6"" 4K Supported Ultra HD Display",9.3,5.741196976534296,58.8726840221776
HP ProBook 430 G2 Core i3 5th Gen 128GB SSD,16500.0,9.530685920577618,Intel Core i3 5th Generation,2.9,4.0,2.0,128GB,6.0,Intel HD Graphics B5500,3,"‎13.3"" FHD",8.65,5.732274368231048,58.74428690458495
Fujitsu Lifebook e734 Core i5 4th Gen Slim Laptop,12000.0,9.855595667870036,Intel Core i5-4300M 4th Generation,2.8,4.0,2.0,256GB SSD Hard Disk,4.0,2GB Intel HD Graphics,3,"13.3"" HD Display",8.65,5.7322382671480145,58.74376740682759
